Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
5809;22179;POINT (21.2612263 48.6749965);21.2612263;48.6749965;F‡ndlyho;18;F‡ndlyho 18;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5810;22142;POINT (21.2648289 48.6738904);21.2648289;48.6738904;He‹kova;28;He‹kova 28;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5811;22141;POINT (21.264886 48.6733375);21.264886;48.6733375;Teäed’kova;29;Teäed’kova 29;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5812;22136;POINT (21.2655957 48.6737791);21.2655957;48.6737791;He‹kova;22;He‹kova 22;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5813;22135;POINT (21.2662289 48.6740614);21.2662289;48.6740614;He‹kova;14;He‹kova 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5814;22098;POINT (21.2689485 48.6731044);21.2689485;48.6731044;Zborovjanova;1;Zborovjanova 1;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5815;22099;POINT (21.2694454 48.6731098);21.2694454;48.6731098;Zborovjanova;2A;Zborovjanova 2A;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5816;22100;POINT (21.2693678 48.6732975);21.2693678;48.6732975;Zborovjanova;4;Zborovjanova 4;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5817;22102;POINT (21.2685167 48.6732525);21.2685167;48.6732525;Pri poäte;16;Pri poäte 16;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5818;22103;POINT (21.2688431 48.6734342);21.2688431;48.6734342;Zborovjanova;5;Zborovjanova 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5819;22106;POINT (21.2677208 48.6735401);21.2677208;48.6735401;Pri poäte;8;Pri poäte 8;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5820;22107;POINT (21.2687279 48.6736174);21.2687279;48.6736174;Zborovjanova;7;Zborovjanova 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5821;22109;POINT (21.2687261 48.6737858);21.2687261;48.6737858;Zborovjanova;9;Zborovjanova 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5822;22111;POINT (21.2690651 48.6742144);21.2690651;48.6742144;Zborovjanova;14;Zborovjanova 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5823;22114;POINT (21.2679442 48.6743773);21.2679442;48.6743773;He‹kova;6;He‹kova 6;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5824;22116;POINT (21.2682741 48.6729803);21.2682741;48.6729803;Pri poäte;15;Pri poäte 15;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5825;22117;POINT (21.2676087 48.6733757);21.2676087;48.6733757;Pri poäte;13;Pri poäte 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5826;22118;POINT (21.2674032 48.6732975);21.2674032;48.6732975;Pri poäte;12;Pri poäte 12;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5827;22120;POINT (21.2677292 48.6728297);21.2677292;48.6728297;Zemianska;23;Zemianska 23;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5828;22124;POINT (21.2672299 48.6731967);21.2672299;48.6731967;Pri poäte;11;Pri poäte 11;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5829;22125;POINT (21.2668491 48.6733477);21.2668491;48.6733477;Pri poäte;9;Pri poäte 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5830;22128;POINT (21.2668544 48.6737191);21.2668544;48.6737191;Pri poäte;5;Pri poäte 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5831;22131;POINT (21.2666206 48.6741446);21.2666206;48.6741446;He‹kova;10;He‹kova 10;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5832;22133;POINT (21.2664171 48.6741007);21.2664171;48.6741007;He‹kova;12;He‹kova 12;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5833;22373;POINT (21.2579178 48.6823334);21.2579178;48.6823334;Kostrova;16;Kostrova 16;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5834;22375;POINT (21.2579475 48.682481);21.2579475;48.682481;Kostrova;14;Kostrova 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5835;22377;POINT (21.2586855 48.6824614);21.2586855;48.6824614;Poni‹anova;13;Poni‹anova 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5836;22627;POINT (21.2554456 48.6837501);21.2554456;48.6837501;Svetl‡;15;Svetl‡ 15;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5837;22609;POINT (21.25597 48.6840321);21.25597;48.6840321;Svetl‡;30;Svetl‡ 30;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5838;22613;POINT (21.2556365 48.6840398);21.2556365;48.6840398;Svetl‡;32;Svetl‡ 32;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5839;22614;POINT (21.2551169 48.6840849);21.2551169;48.6840849;Svetl‡;38;Svetl‡ 38;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5840;22616;POINT (21.2547476 48.684112);21.2547476;48.684112;Svetl‡;42;Svetl‡ 42;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5841;22618;POINT (21.2543124 48.6841266);21.2543124;48.6841266;Svetl‡;46;Svetl‡ 46;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5842;22620;POINT (21.2540968 48.6841282);21.2540968;48.6841282;Svetl‡;48;Svetl‡ 48;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5843;22622;POINT (21.2549561 48.6838315);21.2549561;48.6838315;Svetl‡;21;Svetl‡ 21;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5844;22623;POINT (21.2551104 48.6838032);21.2551104;48.6838032;Svetl‡;19;Svetl‡ 19;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5845;22625;POINT (21.2552662 48.6837658);21.2552662;48.6837658;Svetl‡;17;Svetl‡ 17;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5846;22629;POINT (21.2556496 48.683796);21.2556496;48.683796;Svetl‡;13;Svetl‡ 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5847;22651;POINT (21.2420896 48.6861737);21.2420896;48.6861737;Svetl‡ Pusta;1;Svetl‡ Pusta 1;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5848;22630;POINT (21.2557651 48.683786);21.2557651;48.683786;Svetl‡;11;Svetl‡ 11;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5849;22631;POINT (21.240528 48.6853848);21.240528;48.6853848;Svetl‡ Pusta;12;Svetl‡ Pusta 12;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5850;22634;POINT (21.2404648 48.6859746);21.2404648;48.6859746;Svetl‡ Pusta;6;Svetl‡ Pusta 6;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5851;22636;POINT (21.2409371 48.6857963);21.2409371;48.6857963;Svetl‡ Pusta;10;Svetl‡ Pusta 10;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5852;22637;POINT (21.2406825 48.6855811);21.2406825;48.6855811;Svetl‡ Pusta;8;Svetl‡ Pusta 8;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5853;22640;POINT (21.2414218 48.6855057);21.2414218;48.6855057;Svetl‡ Pusta;7;Svetl‡ Pusta 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5854;22642;POINT (21.2414379 48.685652);21.2414379;48.685652;Svetl‡ Pusta;5;Svetl‡ Pusta 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5855;22645;POINT (21.242173 48.685598);21.242173;48.685598;Svetl‡ Pusta;21;Svetl‡ Pusta 21;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5856;22646;POINT (21.2424427 48.6856145);21.2424427;48.6856145;Svetl‡ Pusta;19;Svetl‡ Pusta 19;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5857;22606;POINT (21.2573172 48.6839491);21.2573172;48.6839491;Svetl‡;18;Svetl‡ 18;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5858;22605;POINT (21.2575126 48.6839414);21.2575126;48.6839414;Svetl‡;16;Svetl‡ 16;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5859;22602;POINT (21.2577916 48.6839204);21.2577916;48.6839204;Svetl‡;14;Svetl‡ 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5860;22600;POINT (21.2582628 48.6845557);21.2582628;48.6845557;Svetl‡;12A;Svetl‡ 12A;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5861;22568;POINT (21.2618585 48.6830735);21.2618585;48.6830735;Abovsk‡;70;Abovsk‡ 70;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5862;22569;POINT (21.2616202 48.6832102);21.2616202;48.6832102;Abovsk‡;72;Abovsk‡ 72;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5863;22571;POINT (21.2616027 48.6833344);21.2616027;48.6833344;Abovsk‡;74;Abovsk‡ 74;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5864;22574;POINT (21.2611355 48.6829914);21.2611355;48.6829914;Abovsk‡;93;Abovsk‡ 93;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5865;22576;POINT (21.2612741 48.6831418);21.2612741;48.6831418;Abovsk‡;95;Abovsk‡ 95;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5866;22578;POINT (21.2605233 48.683311);21.2605233;48.683311;TeplŽho;6;TeplŽho 6;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5867;22580;POINT (21.2606993 48.6837363);21.2606993;48.6837363;Abovsk‡;100;Abovsk‡ 100;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5868;22581;POINT (21.2603503 48.6845677);21.2603503;48.6845677;TeplŽho;14;TeplŽho 14;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5869;22583;POINT (21.2601841 48.6848915);21.2601841;48.6848915;TeplŽho;13;TeplŽho 13;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5870;22584;POINT (21.2597779 48.6843368);21.2597779;48.6843368;Cirbusovej;2;Cirbusovej 2;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5871;22585;POINT (21.2594408 48.6838332);21.2594408;48.6838332;Svetl‡;2;Svetl‡ 2;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5872;22587;POINT (21.259371 48.6841541);21.259371;48.6841541;Cirbusovej;3;Cirbusovej 3;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5873;22588;POINT (21.2592412 48.6838368);21.2592412;48.6838368;Svetl‡;4;Svetl‡ 4;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5874;22590;POINT (21.2588167 48.683869);21.2588167;48.683869;Svetl‡;6;Svetl‡ 6;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5875;22593;POINT (21.2586792 48.6844533);21.2586792;48.6844533;Cirbusovej;9;Cirbusovej 9;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5876;22595;POINT (21.2591102 48.6844428);21.2591102;48.6844428;Cirbusovej;5;Cirbusovej 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5877;22596;POINT (21.2588566 48.6845038);21.2588566;48.6845038;Cirbusovej;7;Cirbusovej 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5878;22597;POINT (21.2585778 48.6839031);21.2585778;48.6839031;Svetl‡;8;Svetl‡ 8;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5879;22599;POINT (21.2583266 48.6839032);21.2583266;48.6839032;Svetl‡;10;Svetl‡ 10;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5880;22649;POINT (21.242051 48.6857721);21.242051;48.6857721;Svetl‡ Pusta;20;Svetl‡ Pusta 20;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5881;22654;POINT (21.2410973 48.6862945);21.2410973;48.6862945;Svetl‡ Pusta;4;Svetl‡ Pusta 4;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5882;22565;POINT (21.2623364 48.6831512);21.2623364;48.6831512;Borod‡‹ova;46;Borod‡‹ova 46;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5883;22761;POINT (21.2603461 48.6862655);21.2603461;48.6862655;Kapustn‡;11;Kapustn‡ 11;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5884;22738;POINT (21.2582564 48.6860087);21.2582564;48.6860087;»anov‡;3;»anov‡ 3;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5885;22740;POINT (21.258627 48.6857768);21.258627;48.6857768;Hrani‹n‡;24;Hrani‹n‡ 24;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5886;22741;POINT (21.2590866 48.6856702);21.2590866;48.6856702;Hrani‹n‡;22;Hrani‹n‡ 22;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5887;22746;POINT (21.2599543 48.6870412);21.2599543;48.6870412;Kapustn‡;16;Kapustn‡ 16;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5888;22749;POINT (21.2599741 48.6872346);21.2599741;48.6872346;Kapustn‡;18;Kapustn‡ 18;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5889;22751;POINT (21.2611081 48.6856092);21.2611081;48.6856092;Hrani‹n‡;10;Hrani‹n‡ 10;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5890;22756;POINT (21.2602997 48.6858959);21.2602997;48.6858959;Kapustn‡;5;Kapustn‡ 5;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
5891;22757;POINT (21.2603102 48.6860108);21.2603102;48.6860108;Kapustn‡;7;Kapustn‡ 7;Rodinnù dom;Koäice-Barca;Barca;Barca;1.0
