Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
5100;20925;POINT (21.2831224 48.7338149);21.2831224;48.7338149;Jaltsk‡;19;Jaltsk‡ 19;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;30.0
5101;20926;POINT (21.2830982 48.7336641);21.2830982;48.7336641;Jaltsk‡;17;Jaltsk‡ 17;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;30.0
5102;20928;POINT (21.2832965 48.7331639);21.2832965;48.7331639;Jaltsk‡;11;Jaltsk‡ 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;17.0
5103;20929;POINT (21.2833822 48.7330113);21.2833822;48.7330113;Jaltsk‡;9;Jaltsk‡ 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;17.0
5104;20931;POINT (21.2835535 48.7327062);21.2835535;48.7327062;Jaltsk‡;5;Jaltsk‡ 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;31.0
5105;20933;POINT (21.2834679 48.7328587);21.2834679;48.7328587;Jaltsk‡;7;Jaltsk‡ 7;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;31.0
5106;20883;POINT (21.2799567 48.7411069);21.2799567;48.7411069;Tokaj’cka;16;Tokaj’cka 16;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5107;20882;POINT (21.2799835 48.7409439);21.2799835;48.7409439;Tokaj’cka;14;Tokaj’cka 14;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5108;20879;POINT (21.2800103 48.740781);21.2800103;48.740781;Tokaj’cka;12;Tokaj’cka 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5109;20876;POINT (21.2800371 48.740618);21.2800371;48.740618;Tokaj’cka;10;Tokaj’cka 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5110;20835;POINT (21.2800572 48.7362337);21.2800572;48.7362337;BaäéovanskŽho;12;BaäéovanskŽho 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5111;20838;POINT (21.2802544 48.7362882);21.2802544;48.7362882;BaäéovanskŽho;11;BaäéovanskŽho 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5112;20839;POINT (21.27986 48.7361792);21.27986;48.7361792;BaäéovanskŽho;13;BaäéovanskŽho 13;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5113;20845;POINT (21.2789602 48.7367995);21.2789602;48.7367995;Benadova;27;Benadova 27;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;23.0
5114;20846;POINT (21.2788818 48.7369313);21.2788818;48.7369313;Benadova;25;Benadova 25;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;23.0
5115;20847;POINT (21.2787522 48.7370739);21.2787522;48.7370739;Benadova;23;Benadova 23;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5116;20848;POINT (21.2786738 48.7372004);21.2786738;48.7372004;Benadova;21;Benadova 21;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5117;20852;POINT (21.2786144 48.737391);21.2786144;48.737391;Benadova;19;Benadova 19;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5118;20853;POINT (21.2786171 48.7375246);21.2786171;48.7375246;Benadova;17;Benadova 17;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5119;20856;POINT (21.2787035 48.7377082);21.2787035;48.7377082;Benadova;15;Benadova 15;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5120;20857;POINT (21.2788818 48.7378739);21.2788818;48.7378739;Benadova;13;Benadova 13;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5121;20859;POINT (21.2791138 48.7379917);21.2791138;48.7379917;Benadova;11;Benadova 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5122;20861;POINT (21.2793161 48.7380481);21.2793161;48.7380481;Benadova;9;Benadova 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5123;20862;POINT (21.2801253 48.7382739);21.2801253;48.7382739;Benadova;1;Benadova 1;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5124;20863;POINT (21.279923 48.7382175);21.279923;48.7382175;Benadova;3;Benadova 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5125;20868;POINT (21.2800147 48.7400176);21.2800147;48.7400176;Tokaj’cka;4;Tokaj’cka 4;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5126;20869;POINT (21.2798579 48.73989);21.2798579;48.73989;Tokaj’cka;2;Tokaj’cka 2;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5127;20872;POINT (21.2800639 48.740455);21.2800639;48.740455;Tokaj’cka;8;Tokaj’cka 8;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5128;20875;POINT (21.2800907 48.7402921);21.2800907;48.7402921;Tokaj’cka;6;Tokaj’cka 6;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5129;20937;POINT (21.2836392 48.7325536);21.2836392;48.7325536;Jaltsk‡;3;Jaltsk‡ 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5130;20943;POINT (21.2872391 48.7321271);21.2872391;48.7321271;Postupimsk‡;5;Postupimsk‡ 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5131;20830;POINT (21.2806488 48.7363973);21.2806488;48.7363973;BaäéovanskŽho;9;BaäéovanskŽho 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5132;21025;POINT (21.2813369 48.7319097);21.2813369;48.7319097;Bielocerkevsk‡;1;Bielocerkevsk‡ 1;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5133;21008;POINT (21.2801083 48.7307464);21.2801083;48.7307464;Bielocerkevsk‡;21;Bielocerkevsk‡ 21;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5134;21011;POINT (21.2801451 48.730605);21.2801451;48.730605;Bielocerkevsk‡;23;Bielocerkevsk‡ 23;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5135;21012;POINT (21.2801003 48.7309195);21.2801003;48.7309195;Bielocerkevsk‡;19;Bielocerkevsk‡ 19;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5136;21013;POINT (21.2801264 48.731057);21.2801264;48.731057;Bielocerkevsk‡;17;Bielocerkevsk‡ 17;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5137;21016;POINT (21.2802746 48.7313463);21.2802746;48.7313463;Bielocerkevsk‡;13;Bielocerkevsk‡ 13;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;12.0
5138;21018;POINT (21.2805591 48.7315961);21.2805591;48.7315961;Bielocerkevsk‡;9;Bielocerkevsk‡ 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5139;21020;POINT (21.2804129 48.7314864);21.2804129;48.7314864;Bielocerkevsk‡;11;Bielocerkevsk‡ 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5140;21022;POINT (21.2807674 48.7316991);21.2807674;48.7316991;Bielocerkevsk‡;7;Bielocerkevsk‡ 7;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5141;21023;POINT (21.2809573 48.7317693);21.2809573;48.7317693;Bielocerkevsk‡;5;Bielocerkevsk‡ 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5142;21027;POINT (21.2811471 48.7318395);21.2811471;48.7318395;Bielocerkevsk‡;3;Bielocerkevsk‡ 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5143;20944;POINT (21.2870294 48.7321658);21.2870294;48.7321658;Postupimsk‡;7;Postupimsk‡ 7;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5144;21030;POINT (21.2872844 48.7336399);21.2872844;48.7336399;Buzuluck‡;2;Buzuluck‡ 2;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;19.0
5145;21033;POINT (21.2875276 48.7336589);21.2875276;48.7336589;Buzuluck‡;4;Buzuluck‡ 4;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;19.0
5146;21034;POINT (21.2880141 48.7336969);21.2880141;48.7336969;Buzuluck‡;8;Buzuluck‡ 8;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5147;21036;POINT (21.2877709 48.7336779);21.2877709;48.7336779;Buzuluck‡;6;Buzuluck‡ 6;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5148;21047;POINT (21.2885007 48.733735);21.2885007;48.733735;Buzuluck‡;12;Buzuluck‡ 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;21.0
5149;21048;POINT (21.2888573 48.7336909);21.2888573;48.7336909;Buzuluck‡;14;Buzuluck‡ 14;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;31.0
5150;21050;POINT (21.2890967 48.7336228);21.2890967;48.7336228;Buzuluck‡;16;Buzuluck‡ 16;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;31.0
5151;21061;POINT (21.2912784 48.7337096);21.2912784;48.7337096;Buzuluck‡;23;Buzuluck‡ 23;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;28.0
5152;21062;POINT (21.2910415 48.7336771);21.2910415;48.7336771;Buzuluck‡;21;Buzuluck‡ 21;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;28.0
5153;21006;POINT (21.2802185 48.7303223);21.2802185;48.7303223;Bielocerkevsk‡;27;Bielocerkevsk‡ 27;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5154;21005;POINT (21.2801818 48.7304637);21.2801818;48.7304637;Bielocerkevsk‡;25;Bielocerkevsk‡ 25;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5155;20986;POINT (21.2825248 48.7312063);21.2825248;48.7312063;Kpt. Jaroäa;13;Kpt. Jaroäa 13;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5156;20985;POINT (21.2823647 48.7312422);21.2823647;48.7312422;Kpt. Jaroäa;15;Kpt. Jaroäa 15;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5157;20947;POINT (21.2876584 48.7320496);21.2876584;48.7320496;Postupimsk‡;1;Postupimsk‡ 1;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;17.0
5158;20948;POINT (21.2874488 48.7320883);21.2874488;48.7320883;Postupimsk‡;3;Postupimsk‡ 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;17.0
5159;20951;POINT (21.286783 48.7321896);21.286783;48.7321896;Postupimsk‡;9;Postupimsk‡ 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;12.0
5160;20952;POINT (21.2865666 48.7322002);21.2865666;48.7322002;Postupimsk‡;11;Postupimsk‡ 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;12.0
5161;20955;POINT (21.285668 48.7320867);21.285668;48.7320867;Postupimsk‡;19;Postupimsk‡ 19;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;7.0
5162;20957;POINT (21.2858795 48.7321394);21.2858795;48.7321394;Postupimsk‡;17;Postupimsk‡ 17;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;7.0
5163;20959;POINT (21.2852451 48.7319813);21.2852451;48.7319813;Postupimsk‡;23;Postupimsk‡ 23;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5164;20960;POINT (21.2854566 48.732034);21.2854566;48.732034;Postupimsk‡;21;Postupimsk‡ 21;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5165;20964;POINT (21.2843993 48.7317705);21.2843993;48.7317705;Postupimsk‡;31;Postupimsk‡ 31;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5166;20966;POINT (21.2846107 48.7318232);21.2846107;48.7318232;Postupimsk‡;29;Postupimsk‡ 29;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5167;20968;POINT (21.2839763 48.731665);21.2839763;48.731665;Postupimsk‡;35;Postupimsk‡ 35;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5168;20969;POINT (21.2841878 48.7317177);21.2841878;48.7317177;Postupimsk‡;33;Postupimsk‡ 33;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5169;20974;POINT (21.2841775 48.7311716);21.2841775;48.7311716;Kpt. Jaroäa;1;Kpt. Jaroäa 1;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5170;20975;POINT (21.283901 48.7311726);21.283901;48.7311726;Kpt. Jaroäa;3;Kpt. Jaroäa 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5171;20978;POINT (21.2836246 48.7311736);21.2836246;48.7311736;Kpt. Jaroäa;5;Kpt. Jaroäa 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5172;20979;POINT (21.2833481 48.7311745);21.2833481;48.7311745;Kpt. Jaroäa;7;Kpt. Jaroäa 7;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;22.0
5173;20980;POINT (21.2827952 48.7311765);21.2827952;48.7311765;Kpt. Jaroäa;11;Kpt. Jaroäa 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5174;20983;POINT (21.2830717 48.7311755);21.2830717;48.7311755;Kpt. Jaroäa;9;Kpt. Jaroäa 9;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5175;20833;POINT (21.2804516 48.7363427);21.2804516;48.7363427;BaäéovanskŽho;10;BaäéovanskŽho 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;14.0
5176;20828;POINT (21.2810724 48.7368163);21.2810724;48.7368163;BaäéovanskŽho;6;BaäéovanskŽho 6;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5177;20526;POINT (21.2461113 48.7509174);21.2461113;48.7509174;Lomnick‡;40;Lomnick‡ 40;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5178;20685;POINT (21.2798866 48.7455663);21.2798866;48.7455663;Adlerova;14;Adlerova 14;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5179;20620;POINT (21.2300701 48.7316091);21.2300701;48.7316091;Tren‹ianska;4;Tren‹ianska 4;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5180;20625;POINT (21.2406666 48.7459926);21.2406666;48.7459926;Kon‹ist‡;1;Kon‹ist‡ 1;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5181;20660;POINT (21.2880373 48.7303707);21.2880373;48.7303707;Slivn’k;53;Slivn’k 53;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5182;20662;POINT (21.2874065 48.7302162);21.2874065;48.7302162;Slivn’k;47;Slivn’k 47;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5183;20664;POINT (21.2873763 48.7300801);21.2873763;48.7300801;Slivn’k;45;Slivn’k 45;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5184;20665;POINT (21.2871473 48.7301383);21.2871473;48.7301383;Slivn’k;43;Slivn’k 43;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5185;20668;POINT (21.2869054 48.7300661);21.2869054;48.7300661;Slivn’k;41;Slivn’k 41;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5186;20670;POINT (21.2867824 48.7299976);21.2867824;48.7299976;Slivn’k;39;Slivn’k 39;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5187;20673;POINT (21.2832876 48.7288224);21.2832876;48.7288224;Slivn’k;7;Slivn’k 7;Rodinnù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;1.0
5188;20687;POINT (21.2802062 48.7456736);21.2802062;48.7456736;Adlerova;18;Adlerova 18;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;13.0
5189;20710;POINT (21.2911189 48.7274973);21.2911189;48.7274973;Clementisova;3;Clementisova 3;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5190;20689;POINT (21.2788563 48.7451863);21.2788563;48.7451863;Adlerova;10;Adlerova 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;10.0
5191;20692;POINT (21.2793624 48.7453799);21.2793624;48.7453799;Adlerova;12A;Adlerova 12A;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;5.0
5192;20693;POINT (21.2780666 48.7458913);21.2780666;48.7458913;Adlerova;22;Adlerova 22;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;44.0
5193;20694;POINT (21.2779996 48.7455588);21.2779996;48.7455588;Adlerova;20;Adlerova 20;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;44.0
5194;20695;POINT (21.2897689 48.72847);21.2897689;48.72847;Clementisova;11;Clementisova 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5195;20697;POINT (21.2899971 48.7283929);21.2899971;48.7283929;Clementisova;10;Clementisova 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5196;20701;POINT (21.2895408 48.7285471);21.2895408;48.7285471;Clementisova;12;Clementisova 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;15.0
5197;20704;POINT (21.291012 48.7276441);21.291012;48.7276441;Clementisova;4;Clementisova 4;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5198;20706;POINT (21.2907316 48.7279334);21.2907316;48.7279334;Clementisova;6;Clementisova 6;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5199;20619;POINT (21.2361839 48.7313049);21.2361839;48.7313049;Roz‡lska;3;Roz‡lska 3;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5200;20595;POINT (21.2454343 48.7505087);21.2454343;48.7505087;Lomnick‡;41;Lomnick‡ 41;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5201;20593;POINT (21.2453699 48.750445);21.2453699;48.750445;Lomnick‡;39;Lomnick‡ 39;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5202;20592;POINT (21.2452302 48.7501831);21.2452302;48.7501831;Lomnick‡;35;Lomnick‡ 35;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5203;20529;POINT (21.246183 48.7510193);21.246183;48.7510193;Lomnick‡;44;Lomnick‡ 44;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5204;20533;POINT (21.2454489 48.7498115);21.2454489;48.7498115;Lomnick‡;30;Lomnick‡ 30;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5205;20535;POINT (21.2454267 48.7496369);21.2454267;48.7496369;Lomnick‡;28;Lomnick‡ 28;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5206;20537;POINT (21.2453738 48.7495924);21.2453738;48.7495924;Lomnick‡;26;Lomnick‡ 26;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5207;20540;POINT (21.2454333 48.7492971);21.2454333;48.7492971;Lomnick‡;24;Lomnick‡ 24;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5208;20541;POINT (21.2453675 48.749237);21.2453675;48.749237;Lomnick‡;22;Lomnick‡ 22;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5209;20544;POINT (21.2454275 48.7490379);21.2454275;48.7490379;Lomnick‡;20;Lomnick‡ 20;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5210;20546;POINT (21.2453591 48.7489801);21.2453591;48.7489801;Lomnick‡;18;Lomnick‡ 18;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5211;20548;POINT (21.2453679 48.7487292);21.2453679;48.7487292;Lomnick‡;14;Lomnick‡ 14;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5212;20550;POINT (21.2454158 48.7485249);21.2454158;48.7485249;Lomnick‡;12;Lomnick‡ 12;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5213;20565;POINT (21.2448418 48.7468298);21.2448418;48.7468298;Lomnick‡;2;Lomnick‡ 2;Bytovù dom;Koäice-Sever;Sever;SevernŽ Mesto;10.0
5214;20567;POINT (21.2450032 48.7471354);21.2450032;48.7471354;Lomnick‡;6;Lomnick‡ 6;Bytovù dom;Koäice-Sever;Sever;SevernŽ Mesto;10.0
5215;20579;POINT (21.2449408 48.7489949);21.2449408;48.7489949;Lomnick‡;15;Lomnick‡ 15;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5216;20581;POINT (21.2449837 48.7490515);21.2449837;48.7490515;Lomnick‡;17;Lomnick‡ 17;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5217;20583;POINT (21.2449331 48.7492544);21.2449331;48.7492544;Lomnick‡;19;Lomnick‡ 19;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5218;20584;POINT (21.2449806 48.7492953);21.2449806;48.7492953;Lomnick‡;21;Lomnick‡ 21;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5219;20587;POINT (21.2449066 48.7494959);21.2449066;48.7494959;Lomnick‡;23;Lomnick‡ 23;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5220;20588;POINT (21.245008 48.7497362);21.245008;48.7497362;Lomnick‡;27;Lomnick‡ 27;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5221;20590;POINT (21.2451037 48.7499389);21.2451037;48.7499389;Lomnick‡;31;Lomnick‡ 31;Rodinnù dom;Koäice-Sever;Sever;SevernŽ Mesto;1.0
5222;20707;POINT (21.2908718 48.7277887);21.2908718;48.7277887;Clementisova;5;Clementisova 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;20.0
5223;20712;POINT (21.2912591 48.7271743);21.2912591;48.7271743;Clementisova;1;Clementisova 1;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;24.0
5224;20827;POINT (21.2810665 48.7369604);21.2810665;48.7369604;BaäéovanskŽho;5;BaäéovanskŽho 5;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5225;20793;POINT (21.2863148 48.7279328);21.2863148;48.7279328;Maurerova;10;Maurerova 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;28.0
5226;20761;POINT (21.2862012 48.7288793);21.2862012;48.7288793;Povstania ‹eskŽho ¼udu;20;Povstania ‹eskŽho ¼udu 20;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5227;20765;POINT (21.2867744 48.7291224);21.2867744;48.7291224;Povstania ‹eskŽho ¼udu;14;Povstania ‹eskŽho ¼udu 14;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5228;20766;POINT (21.2865833 48.7290414);21.2865833;48.7290414;Povstania ‹eskŽho ¼udu;16;Povstania ‹eskŽho ¼udu 16;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5229;20768;POINT (21.2871718 48.7292743);21.2871718;48.7292743;Povstania ‹eskŽho ¼udu;10;Povstania ‹eskŽho ¼udu 10;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;6.0
5230;20769;POINT (21.2869807 48.7291933);21.2869807;48.7291933;Povstania ‹eskŽho ¼udu;12;Povstania ‹eskŽho ¼udu 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;6.0
5231;20775;POINT (21.287936 48.7295983);21.287936;48.7295983;Povstania ‹eskŽho ¼udu;2;Povstania ‹eskŽho ¼udu 2;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;11.0
5232;20778;POINT (21.2857991 48.7279225);21.2857991;48.7279225;Maurerova;12;Maurerova 12;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
5233;20779;POINT (21.2860569 48.7279276);21.2860569;48.7279276;Maurerova;11;Maurerova 11;Bytovù dom;Koäice-Dargovskùch hrdinov;Dargovskùch hrdinov;Fur‹a;18.0
